gene_name,gene_id,logFC,logCPM,PValue,FDR,raw_read_count_x23908x30,raw_read_count_x23908x31,raw_read_count_x23908x16,rpkm_x23908x30,rpkm_x23908x31,rpkm_x23908x16
Midn,59090,1.4442112703822134,5.328621399248434,1.167861093697753e-6,5.064525454605419e-6,288,355,251,6.216159527011386,6.085422519401342,13.876345142795873
NA,105246538,4.1452160382629035,0.18326328642324313,1.1751870146572867e-6,5.095140075104888e-6,1,5,16,0.11652714216470113,0.4627323052620604,4.775499307963742
NA,102638135,2.0810063375566625,2.899299447176026,1.1850579139177543e-6,5.136772330536564e-6,60,40,61,1.146731452062763,0.6071600469751647,2.9861527358467534
Rasgrp4,233046,2.420856540516434,2.1313752553205227,1.1918260390583477e-6,5.1649394349498e-6,31,22,41,0.3844875812534466,0.21670853913738813,1.302495369727045
Scamp5,56807,-1.685372326528815,7.213803168857239,1.1932325006023959e-6,5.1698635493717476e-6,2439,2241,209,31.81167550705825,23.213964751663582,6.982207286606001
Rasa3,19414,1.4233071505410773,6.15942907828377,1.1961458315331437e-6,5.181312699733675e-6,605,534,439,13.999191211189748,9.813446258896557,26.01859250629799
Sema5a,20356,-1.6435228338345649,6.432997591314175,1.200131230720026e-6,5.197399465225499e-6,1348,1351,124,11.342149833772423,9.028041725727283,2.672384114204459
Cldn12,64945,-1.7575246890001996,5.068345130713222,1.2239984807615597e-6,5.299561650240083e-6,517,520,44,11.858600810181672,9.472813151569383,2.5850401428363368
Clcn3,12725,-1.6767103952727729,7.273192754279435,1.2365136287579918e-6,5.352537388920058e-6,2323,2557,219,22.979695027712648,20.0890083632269,5.548950799046802
Luzp2,233271,-1.6636914501578417,6.682904068307641,1.2443549900875532e-6,5.385262163615734e-6,1468,1758,146,26.79359225710886,25.483347696992546,6.825421129172055
Rhobtb1,69288,1.9758952390299198,3.0221626460924287,1.2456550923159432e-6,5.389669579665523e-6,61,52,64,0.9047728637437579,0.6125559967828862,2.4314280013108074
Lmbrd1,68421,-1.6521814427521166,6.643422479426621,1.2493855209747202e-6,5.404588101471698e-6,1451,1683,143,19.826223499455047,18.26372762944249,5.004726292545029
Cgas,214763,3.606450340931966,0.47531692613230775,1.2587841303166977e-6,5.444013735386387e-6,4,6,18,0.09414626386794912,0.11215717703739345,1.0851438467388579
